Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,BEV020__Bevoelkerung__1000,ERW002__Erwerbstaetige__1000,ERW003__Erwerbslose__1000,ERW001__Erwerbspersonen__1000,ERW004__Nichterwerbspersonen__1000
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,08,Baden-Württemberg,9859,4831,160,4991,4869
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,09,Bayern,11488,5821,215,6036,5452
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,11,Berlin,3425,1689,196,1885,1539
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,12,Brandenburg,2567,1270,148,1418,1149
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,04,Bremen,682,287,31,318,364
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,02,Hamburg,1658,781,72,853,805
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,06,Hessen,5779,2727,146,2873,2906
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,13,Mecklenburg-Vorpommern,1913,906,146,1052,862
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,03,Niedersachsen,7406,3303,220,3523,3883
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,05,Nordrhein-Westfalen,17384,7483,503,7985,9399
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,07,Rheinland-Pfalz,3776,1741,91,1833,1943
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,10,Saarland,1074,448,33,481,593
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,14,Sachsen,4730,2283,253,2536,2194
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,15,Sachsen-Anhalt,2859,1382,162,1545,1315
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,01,Schleswig-Holstein,2630,1235,94,1330,1300
12211,Mikrozensus,SMONAT,Stichmonat,04/1991,DLAND,Bundesländer,16,Thüringen,2598,1259,170,1428,1170
12211,Mikrozensus,SMONAT,Stichmonat,05/1992,DLAND,Bundesländer,08,Baden-Württemberg,10044,4884,207,5091,4953
12211,Mikrozensus,SMONAT,Stichmonat,05/1992,DLAND,Bundesländer,09,Bayern,11640,5883,257,6140,5500
12211,Mikrozensus,SMONAT,Stichmonat,05/1992,DLAND,Bundesländer,11,Berlin,3450,1639,242,1881,1568
12211,Mikrozensus,SMONAT,Stichmonat,05/1992,DLAND,Bundesländer,12,Brandenburg,2524,1121,223,1344,1180
12211,Mikrozensus,SMONAT,Stichmonat,05/1992,DLAND,Bundesländer,04,Bremen,684,298,32,330,354
